cid,src_id,src_name,dst_id,dst_name,name,peak_force,t_engage,total_impulse,total_work,confidence
92,1,Front\Metal,2,Front\Wall,Contact Region,719.483,9.999e-06,0.932927,191.292,1.0
95,1,Front\Metal,3,PCB\PCB,Contact Region 2,1083.13,9.999e-06,2.10445,334.456,1.0
98,1,Front\Metal,15,SUBPCB\SUBPBA,Contact Region 3,890.019,9.999e-06,1.55026,-35.1329,1.0
104,1,Front\Metal,20,Bond\Bond,Contact Region 5,9784.91,1.4997e-05,10.3109,320.99,1.0
110,1,Front\Metal,22,Geom\솔리드,Contact Region 7,30133.6,9.999e-06,4.53213,-78.2156,1.0
116,3,PCB\PCB,4,PKG\PKG 1,Contact Region 9,115.879,1.4997e-05,0.161407,-12.3282,1.0
119,3,PCB\PCB,5,PKG\PKG 3,Contact Region 10,434.23,1.4997e-05,0.767769,-235.081,1.0
122,3,PCB\PCB,6,PKG\PKG 4,Contact Region 11,1122.13,1.4997e-05,2.17278,-204.603,1.0
125,3,PCB\PCB,7,PKG\PKG 5,Contact Region 12,171.303,1.9994e-05,0.244999,12.3728,1.0
128,3,PCB\PCB,8,PKG\PKG 6,Contact Region 13,98.9054,1.4997e-05,0.184617,-76.9594,1.0
131,3,PCB\PCB,9,PKG\PKG 7,Contact Region 14,316.438,1.4997e-05,0.457638,2.81622,1.0
134,3,PCB\PCB,10,PKG\PKG 8,Contact Region 15,178.491,1.9994e-05,0.188851,15.3399,1.0
137,3,PCB\PCB,11,PKG\PKG 9,Contact Region 16,498.386,1.9994e-05,0.551668,55.2029,1.0
140,3,PCB\PCB,12,PKG\PKG 10,Contact Region 17,1071.56,1.4997e-05,1.14355,138.796,1.0
143,3,PCB\PCB,13,PKG\PKG 11,Contact Region 18,190.218,1.4997e-05,0.234797,-59.4517,1.0
146,3,PCB\PCB,14,PKG\PKG 2,Contact Region 19,140.861,1.4997e-05,0.153298,16.1433,1.0
149,15,SUBPCB\SUBPBA,16,PKG\SUBPKG,Contact Region 20,131.266,1.4997e-05,0.207588,-3.95694,1.0
152,15,SUBPCB\SUBPBA,17,PKG\SUBPKG2,Contact Region 21,550.887,1.4997e-05,0.927042,129.336,1.0
155,15,SUBPCB\SUBPBA,18,PKG\Motor,Contact Region 22,540.303,1.4997e-05,1.10968,111.908,1.0
158,15,SUBPCB\SUBPBA,19,PKG\SUBPKG3,Contact Region 23,88.4632,1.4997e-05,0.146532,-5.66048,1.0
164,20,Bond\Bond,21,Display\Display,Contact Region 25,10786.0,1.4997e-05,13.2504,-904.299,1.0
172,23,Part_23,set:2,DropContact_OuterParts,Contact_172,19481.7,9.999e-06,0.274161,0.0,1.0
