cid,src_id,src_name,dst_id,dst_name,name,peak_force,t_engage,total_impulse,total_work,confidence
92,1,Front\Metal,2,Front\Wall,Contact Region,170.784,1.9998e-05,0.415073,-719.222,1.0
95,1,Front\Metal,3,PCB\PCB,Contact Region 2,521.71,1.9998e-05,0.956571,-2792.68,1.0
98,1,Front\Metal,15,SUBPCB\SUBPBA,Contact Region 3,488.073,3.9996e-05,0.848665,-2830.03,1.0
104,1,Front\Metal,20,Bond\Bond,Contact Region 5,2758.16,1.4998e-05,5.28058,168.441,1.0
110,1,Front\Metal,22,Geom\솔리드,Contact Region 7,1676.97,2.4997e-05,2.83874,-248.493,1.0
116,3,PCB\PCB,4,PKG\PKG 1,Contact Region 9,51.647,2.9997e-05,0.0848621,227.283,1.0
119,3,PCB\PCB,5,PKG\PKG 3,Contact Region 10,255.55,1.9998e-05,0.352117,770.172,1.0
122,3,PCB\PCB,6,PKG\PKG 4,Contact Region 11,520.548,2.4997e-05,0.942402,534.653,1.0
125,3,PCB\PCB,7,PKG\PKG 5,Contact Region 12,95.9136,2.4997e-05,0.108482,185.516,1.0
128,3,PCB\PCB,8,PKG\PKG 6,Contact Region 13,45.4685,2.4997e-05,0.0788047,106.829,1.0
131,3,PCB\PCB,9,PKG\PKG 7,Contact Region 14,115.761,2.4997e-05,0.203128,-170.731,1.0
134,3,PCB\PCB,10,PKG\PKG 8,Contact Region 15,69.7719,2.4997e-05,0.0776441,-93.8099,1.0
137,3,PCB\PCB,11,PKG\PKG 9,Contact Region 16,169.335,2.9997e-05,0.224839,0.339507,1.0
140,3,PCB\PCB,12,PKG\PKG 10,Contact Region 17,431.622,2.9997e-05,0.551825,-717.534,1.0
143,3,PCB\PCB,13,PKG\PKG 11,Contact Region 18,183.302,3.4996e-05,0.168143,360.746,1.0
146,3,PCB\PCB,14,PKG\PKG 2,Contact Region 19,77.0868,2.9997e-05,0.0967684,-232.692,1.0
149,15,SUBPCB\SUBPBA,16,PKG\SUBPKG,Contact Region 20,114.633,6.9987e-05,0.126622,-204.192,1.0
152,15,SUBPCB\SUBPBA,17,PKG\SUBPKG2,Contact Region 21,327.587,4.9983e-05,0.51254,-399.665,1.0
155,15,SUBPCB\SUBPBA,18,PKG\Motor,Contact Region 22,238.408,3.9996e-05,0.615501,-611.769,1.0
158,15,SUBPCB\SUBPBA,19,PKG\SUBPKG3,Contact Region 23,51.7314,5.9989e-05,0.0768026,148.59,1.0
164,20,Bond\Bond,21,Display\Display,Contact Region 25,2865.76,1.4998e-05,6.9778,-53.172,1.0
172,23,Part_23,set:2,DropContact_OuterParts,Contact_172,3424.72,1.4998e-05,0.448129,0.0,1.0
